colname,label
blockid,Concatenated block code (dept municipality class section block)
hom2012,Homicides in 2012
hper2012,Robbery in 2012
hveh2012,Motor vehicle theft in 2012
hmot2012,Motorcycle theft in 2012
hom2013,Homicides in 2013
hper2013,Robbery in 2013
hveh2013,Motor vehicle theft in 2013
hmot2013,Motorcycle theft in 2013
hom2014,Homicides in 2014
hper2014,Robbery in 2014
hveh2014,Motor vehicle theft in 2014
hmot2014,Motorcycle theft in 2014
hom2015,Homicides in 2015
hper2015,Robbery in 2015
hveh2015,Motor vehicle theft in 2015
hmot2015,Motorcycle theft in 2015
hom2016,Homicides in 2016
hper2016,Robbery in 2016
hveh2016,Motor vehicle theft in 2016
hmot2016,Motorcycle theft in 2016
hom2017,Homicides in 2017
hper2017,Robbery in 2017
hveh2017,Motor vehicle theft in 2017
hmot2017,Motorcycle theft in 2017
hom2018,Homicides in 2018
hper2018,Robbery in 2018
hveh2018,Motor vehicle theft in 2018
hmot2018,Motorcycle theft in 2018
hom2019,Homicides in 2019
hper2019,Robbery in 2019
hveh2019,Motor vehicle theft in 2019
hmot2019,Motorcycle theft in 2019
